,author,title,text,date,text_type
47,Bernardo Soares,EXAME DE CONSCIÊNCIA,"
EXAME DE CONSCIÊNCIA

Viver a vida em sonho e falso é sempre viver a vida. Abdicar é agir. Sonhar é confessar a necessidade de viver, substituindo a vida real pela vida irreal, e assim é uma compensação da inabilidade do querer viver.
Que é tudo isto enfim se não a busca da felicidade? E busca qualquer outra busca?

O devaneio contínuo, a análise ininterrupta deram-me alguma coisa essencialmente diferente do que a vida ou devaneio?
Com separar-me dos homens não me encontrei, nem (…)

Este livro é um só estado de alma, analisado de todos os lados, percorrido em todas as direcções.

Alguma coisa nova, ao menos, esta atitude me trouxe? Nem essa consolação se aproxima de mim. Estaria tudo já em Heraclito e no Eclesiastes: A vida é um brinquedo de criança na areia… vaidade e (…) de espanto… E eu Job pobre, numa só frase, A minha alma está cansada da minha vida.
Em Pascal:
Em Vigny: Em ti (…)
Em Amiel, tão completamente em Amiel:
… (certas frases)…
Em Verlaine (nos simbolistas):
Tanto doente em mim… Nem o privilégio de uma pequena originalidade de doença… Faço o que tantos antes de mim fizeram… Sofro o que já é forma velha de sofrer… Para que mesmo penso estas coisas, se já tantos as pensaram e as sofreram?…

E contudo, sim, qualquer coisa de novo trouxe. Mas disso não sou responsável. Veio da Noite e brilha em mim como uma estrela… Todo o meu esforço não produziu nem apagou… Sou uma ponte entre dois mistérios, sou sonho em que me construíram…
",s.d.,prose
48,Fernando Pessoa,O PROVINCIANISMO PORTUGUÊS,"
O PROVINCIANISMO PORTUGUÊS

Se, por um daqueles artifícios cómodos, pelos quais simplificamos a realidade com o fito de a compreender, quisermos resumir num síndroma o mal superior português, diremos que esse mal consiste no provincianismo. O facto é triste, mas não nos é peculiar. De igual doença enfermam muitos outros países, que se consideram civilizantes com orgulho e erro.
O provincianismo consiste em pertencer a uma civilização sem tomar parte no desenvolvimento superior dela — em segui-la pois mimeticamente, com uma subordinação inconsciente e feliz.
O síndroma provinciano compreende, pelo menos, três sintomas flagrantes: o entusiasmo e admiração pelos grandes meios e pelas grandes cidades; o entusiasmo e admiração pelo progresso e pela modernidade; e, na esfera mental superior, a incapacidade de ironia.
Se há característico que imediatamente distinga o provinciano, é a admiração pelos grandes meios. Um parisiense não admira Paris; gosta de Paris. Como há-de admirar aquilo que é parte dele? Ninguém se admira a si mesmo, salvo um paranóico com o delírio das grandezas. Recordo-me de que uma vez, nos tempos do « Orpheu», disse a Mário de Sá-Carneiro: «V. é europeu e civilizado, salvo em uma coisa, e nessa V. é vítima da educação portuguesa. V. admira Paris, admira as grandes cidades. Se V. tivesse sido educado no estrangeiro, e sob o influxo de uma grande cultura europeia, como eu, não daria pelas grandes cidades. Estavam todas dentro de si».
O amor ao progresso e ao moderno é a outra forma do mesmo característico provinciano. Os civilizados criam o progresso, criam a moda, criam a modernidade; por isso lhes não atribuem importância de maior. Ninguém atribui importância ao que produz. Quem não produz é que admira a produção. Diga-se incidentalmente: é esta uma das explicações do socialismo. Se alguma tendência têm os criadores de civilização, é a de não repararem bem na importância do que criam. O Infante D. Henrique, com ser o mais sistemático de todos os criadores de civilização, não viu contudo que prodígio estava criando — toda a civilização transoceânica moderna, embora com consequências abomináveis, como a existência dos Estados Unidos. Dante adorava Vergílio como um exemplar e uma estrela, nunca sonharia em comparar-se com ele; nada há, todavia, mais certo que o ser a «Divina Comédia» superior à «Eneida». O provinciano, porém, pasma do que não fez, precisamente porque o não fez; e orgulha-se de sentir esse pasmo. Se assim não sentisse, não seria provinciano.
É na incapacidade de ironia que reside o traço mais fundo do provincianismo mental. Por ironia entende-se, não o dizer piadas, como se crê nos cafés e nas redacções, mas o dizer uma coisa para dizer o contrário. A essência da ironia consiste em não se poder descobrir o segundo sentido do texto por nenhuma palavra dele, deduzindo-se porém esse segundo sentido do facto de ser impossível dever o texto dizer aquilo que diz. Assim, o maior de todos os ironistas, Swift, redigiu, durante uma das fomes na Irlanda, e como sátira brutal à Inglaterra, um breve escrito propondo uma solução para essa fome. Propõe que os irlandeses comam os próprios filhos. Exarnina com grande seriedade o problema, e expõe com clareza e ciência a utilidade das crianças de menos de sete anos como bom alimento. Nenhuma palavra nessas páginas assombrosas quebra a absoluta gravidade da exposição; ninguém poderia concluir, do texto, que a proposta não fosse feita com absoluta seriedade, se não fosse a circunstância, exterior ao texto, de que uma proposta dessas não poderia ser feita a sério.
A ironia é isto. Para a sua realização exige-se um domínio absoluto da expressão, produto de uma cultura intensa; e aquilo a que os ingleses chamam detachment — o poder de afastar-se de si mesmo, de dividir-se em dois, produto daquele «desenvolvimento da largueza de consciência», em que, segundo o historiador alemão Lamprecht, reside a essência da civilização. Para a sua realização exige-se, em outras palavras, o não se ser provinciano.
O exemplo mais flagrante do provincianismo português é Eça de Queirós. É o exemplo mais flagrante porque foi o escritor português que mais se preocupou (como todos os provincianos) em ser civilizado. As suas tentativas de ironia aterram não só pelo grau de falência, senão também pela inconsciência dela. Neste capítulo, «A Relíquia», Paio Pires a falar francês, é um documento doloroso. As próprias páginas sobre Pacheco, quase civilizadas, são estragadas por vários lapsos verbais, quebradores da imperturbabilidade que a ironia exige, e arruinadas por inteiro na introdução do desgraçado episódio da viúva de Pacheco. Compare-se Eça de Queirós, não direi já com Swift, mas, por exemplo, com Anatole France. Ver-se-á a diferença entre um jornalista, embora brilhante, de província, e um verdadeiro, se bem que limitado, artista.
Para o provincianismo há só uma terapêutica: é o saber que ele existe. O provincianismo vive da inconsciência; de nos supormos civilizados quando o não somos, de nos supormos civilizados precisamente pelas qualidades por que o não somos. O princípio da cura está na consciência da doença, o da verdade no conhecimento do erro. Quando um doido sabe que está doido, já não está doido. Estamos perto de acordar, disse Novalis, quando sonhamos que sonhamos.
",1928,prose
49,Fernando Pessoa,"A certeza — isto é, a confiança no carácter objectivo das nossas percepções,","
A certeza — isto é, a confiança no carácter objectivo das nossas percepções, e na conformidade das nossas ideias com a «realidade» ou a «verdade» — é um sintoma de ignorância ou de loucura. O homem mentalmente são não está certo de nada, isto é, vive numa incerteza mental constante; quer dizer, numa instabilidade mental permanente; e, como a instabilidade mental permanente é um sintoma mórbido, o homem são é um homem doente.

Acumulei no parágrafo primeiro deste escrito estes, não só paradoxos, mas paradoxos contraditórios para que desde logo o leitor visse claramente, por não ver claramente, em que rede de ideias nos enleamos se queremos distinguir com qualquer espécie de clareza em que fundamentos assentam os conhecimentos. Passo agora a demonstrar o que disse sucinta e paradoxalmente.

Distinguirei, no fenómeno chamado certeza, a parte subjectiva e a objectiva — a certeza em si, e aquilo de que há certeza. Considerada em si, a certeza nada vale. Nenhum de nós tem mais certeza de ter diante de si esta página que tem um perseguido de estar sendo perseguido por numerosos «inimigos», ou um megalómano de ser Jesus Cristo, ou Deus, ou Imperador do Mundo. O lugar das certezas absolutas, inteiras, que não sentem dúvida nem hesitação, é o manicómio.


Pode arguir-se que é perfeitamente «demonstrável» que o louco que se julga Jesus Cristo não é realmente Jesus Cristo. É demonstrável como? É demonstrável a quem? Como demonstraremos que ele não é Jesus Cristo? Como lhe o demonstraremos a 

ele

? Para demonstrarmos, 

absolutamente, 

que ele não é Jesus Cristo, ou Deus, ou Imperador do Mundo, ou um bule, um balde ou uma pedra, era preciso que tivéssemos sobre estes objectos ou ideias uma ideia 

absoluta; 

ora de todos eles — e, no fundo, igualmente — não temos outra ideia que não a nossa própria, ou, quando muito, a que é comum a nós e a vários outros indivíduos, isto é, não temos senão uma ideia forçosamente 

relativa; 

de onde se vê que o mais que podemos objectar (de longe, para maior segurança) a esse a quem chamamos louco é que 

para nós 

ele não é Jesus Cristo, ou Deus, ou Imperador do Mundo, ou bule ou balde ou pedra. Isto, vendo melhor, equivale simplesmente a dizer que temos sobre estes objectos (e sobre ele) uma ideia diferente da que ele tem; o que no fundo vem a significar que ele e nós somos pessoas diferentes. Nem nos vale o valermo-nos do argumento (que o não é senão para os mistificadores que inventaram a democracia) [que] daria como falsa a ideia de que a terra gira à roda do sol, quando a não tinha senão Copérnico, e a humanidade em geral tinha a contrária. Nada nos pode provar que, na realidade absoluta, ou do «outro lado» da aparência das coisas, ele não esteja na ciência e nós na ignorância e no atraso.

Mas, se é já difícil e incerto o conceber-se possível uma impossível demonstração absoluta disso, ou de qualquer coisa, mais difícil, mais impossível (se a expressão pode empregar-se) seria o demonstrar-lhe a ele que não é Jesus Cristo, ou o que quer que seja que se julga. Suponhamo-nos empenhados (por um propósito que devia valer-nos o internamento ao lado dele) em provar a um doido que se julga bule que ele não é com efeito um bule. Pegamos ingenuamente num bule e pomo-lo defronte dele; feito isto, perguntamos-lhe: «Isto é que é um bule; ora veja bem — o senhor parece-se com isto?» Ele responder-nos-á, ou «isso não é um bule; eu é que sou um verdadeiro bule»; ou «sim senhor: sou perfeitamente igual a esse bule». A este argumento, o que objectaremos, que valha, quer para ele, quer até para nós como racionadores? Não poderemos objectar nada. O que, no fundo, queremos fazer é negar a objectividade das impressões dele. As impressões dele, porém, são dele, que não nossas; ele é que as sente, e legitimamente não pode aceitar — como nós não aceitaríamos se ele quisesse converter-nos ao seu ponto de vista — uma crítica das suas impressões vinda inteiramente do exterior, isto é, vinda de quem as não sente e não pode portanto legitimamente criticá-las. Só se estivéssemos dentro dele, dentro do espírito dele, é que poderíamos criticar as suas impressões, que seriam também as nossas; mas é possível, que então, com esta crítica dentro de si, ele não se julgue já bule — ou (quem sabe?) se julgasse muito mais bule do que dantes.

*


Posto, assim, e assim assente, que a certeza tem um carácter puramente subjectivo, desde logo reparamos que nenhuma certeza pode verdadeiramente prevalecer objectivamente sobre outra. Numa sociedade, ou agrupamento, onde haja um número 

a

 de pessoas e haja 1 com uma certeza e 

a

-1 com outra, nada prova que a «verdade» ou objectividade esteja mais do lado do 1 do que do lado do 

a

-1, pois que 

a

-1 subjectividades não somam objectividade, pela mesma razão que quatro cavalos não somam um elefante. O mais que pode concluir-se de haver 

a

-1 certezas de um lado e 1 do outro é que há 

a

-1 pessoas subjectivamente, ou mentalmente, parecidas — pelo menos em relação ao assunto sobre que estão em certeza —, e 1 pessoa que se não parece com essas. Redunda tudo, em última análise, numa questão de semelhança e dessemelhança temperamental ou mental, e isto nada adianta quanto à «verdade» objectiva do assunto sobre que se dá a divergência de «certezas».

Uma objecção desde logo ocorre. O critério da objectividade (dir-se-á) é a mesma objectividade; basta que encontremos um processo de verificação liberto de elementos subjectivos para que, pelo menos em certo modo, a objectividade de um fenómeno se possa determinar. É esse o género de investigação a que chamamos científica. Faz-se ela de três modos — por observação directa, por cálculo, e por observação indirecta (que consiste no emprego de aparelhos especiais) .

Quanto mais examinarmos esta objecção, mais profundamente verificaremos que em nenhum ponto ela colhe. A observação directa, evidentemente, deixa-nos no mesmo caso em que estávamos, entregues às nossas subjectividades, corrigendas apenas umas pelas outras e sempre fora da objectividade verdadeira. O cálculo adquire já, aparentemente, uma meia-objectividade, que é a objectividade abstracta da matemática. A matemática, porém, é puramente uma criação do espírito — seja do espírito em plena abstracção, seja do espírito em abstracção de impressões sensoriais primárias, o que para o caso não importa. A «certeza» da matemática é uma certeza só dentro da matemática; o que chamamos 2 somado ao que chamamos 3 dá o que chamamos 5, mas que certeza temos que quando vemos 2 e 3 no mundo «externo» haja ali realmente 2 e 3, e não 4 e 7 por exemplo? Que certeza temos que haja nesse mundo «externo» qualquer coisa efectivamente designável como 2 e 3? O cálculo matemático, longe de nos aproximar de uma «objectividade» certamente objectiva, antes dela nos afasta, pois é apenas um critério subjectivo de verificar impressões que são forçosamente subjectivas: onde julgamos ter uma objectividade temos apenas duas subjectividades.

A investigação por meio de aparelhos parece, à primeira vista, oferecer um processo seguro, ou pelo menos mais seguro que qualquer outro, de se chegar à objectividade. Não é assim. Esses aparelhos, sobre serem fabricados por nós, isto é, sob a acção construtiva de impressões nossas, hão, ainda, de ser lidos por nós; e aqui estamos outra vez trazidos à nossa subjectividade. Acresce — para que vamos até ao fim exacto do argumento legítimo — que não sabemos até que ponto podemos influenciar aparelhos. Não é impossível que possamos projectar alucinações, se elas forem suficientemente fortes ou suficientemente emitidas de qualquer modo especial, sobre aparelhos que construímos; é concebível que uma chapa fotográfica possa receber uma emissão de imagens puramente «mentais», que ela possa ser, por assim dizer, hipnotizável. Tanto quanto podemos avaliar, a constituição da matéria parece ser uniforme, e a mesma portanto no nosso corpo e cérebro que nos seres a que chamamos inorgânicos; nem vem para o caso o objectar-se que essa uniformidade e essa matéria também são conceitos nossos, porque não vem para o caso objectar precisamente o que o opositor quer provar. E, se a constituição da matéria é assim idêntica, nada obsta a que creiamos que as imagens mentais são emissisíveis materialmente, são ou fenómenos de emissão etérica, ou qualquer coisa assim, ou acompanhadas por tais fenómenos, e não seja portanto possível que uma chapa fotográfica seja impressionada por essa emissão mental do mesmo modo que o é por uma emissão a que chamamos «luminosa».

Assente, pois, que a certeza em si não é certeza, que não há passagem lógica da subjectividade da certeza para a objectividade da verdade ou realidade, resta que investiguemos se essa passagem se pode encontrar estudando nós, não a certeza em si, subjectiva, senão a certeza objectiva, ou seja 

o conteúdo

 da certeza, aquilo de que há certeza.

Revertamos ao exemplo, propositadamente grotesco, que nos serviu convenientemente de ponto de partida. Vimos já, levando a análise até os seus últimos escaninhos, que, considerada, a certeza em si, e o seu conteúdo como objecto de certeza, não há mais objectividade na nossa certeza de que temos diante de nós esta página de papel que na certeza do megalómano de que é Jesus Cristo ou do delirante de que é um bule. Procuremos agora estabelecer qualquer diferença entre essas duas certezas por meio de seus conteúdos.
",s.d.,prose
50,Ricardo Reis,Cada dia sem gozo não foi teu,"
Cada dia sem gozo não foi teu:
Foi só durares nele. Quanto vivas
Sem que o gozes, não vives.

Não pesa que amas, bebas ou sorrias:
Basta o reflexo do sol ido na água
De um charco, se te é grato.

Feliz o a quem, por ter em coisas mínimas
Seu prazer posto, nenhum dia nega
A natural ventura!
",14-3-1933,prose
51,Ricardo Reis,"Débil no vício, débil na virtude","
Débil no vício, débil na virtude
A humanidade débil, nem na fúria
Conhece mais que a norma.

Pares e diferentes nos regemos
Por uma norma própria, e inda que dura,
Será à liberdade.

Ser livre é ser a própria imposta norma
Igual a todos, salvo no amplo e duro
Mando e uso de si mesmo.
",9-7-1930,poem
52,Álvaro de Campos,ODE TRIUNFAL,"
ODE TRIUNFALÀ dolorosa luz das grandes lâmpadas eléctricas da fábrica Tenho febre e escrevo. Escrevo rangendo os dentes, fera para a beleza disto, Para a beleza disto totalmente desconhecida dos antigos.Ó rodas, ó engrenagens, r-r-r-r-r-r-r eterno! Forte espasmo retido dos maquinismos em fúria! Em fúria fora e dentro de mim, Por todos os meus nervos dissecados fora, Por todas as papilas fora de tudo com que eu sinto! Tenho os lábios secos, ó grandes ruídos modernos, De vos ouvir demasiadamente de perto, E arde-me a cabeça de vos querer cantar com um excesso De expressão de todas as minhas sensações, Com um excesso contemporâneo de vós, ó máquinas!Em febre e olhando os motores como a uma Natureza tropical —Grandes trópicos humanos de ferro e fogo e força —Canto, e canto o presente, e também o passado e o futuro, Porque o presente é todo o passado e todo o futuroE há Platão e Virgílio dentro das máquinas e das luzes eléctricas Só porque houve outrora e foram humanos Virgílio e Platão,E pedaços do Alexandre Magno do século talvez cinquenta,Átomos que hão-de ir ter febre para o cérebro do Ésquilo do século cem,Andam por estas correias de transmissão e por estes êmbolos e por estes volantes, Rugindo, rangendo, ciciando, estrugindo, ferreando,Fazendo-me um acesso de carícias ao corpo numa só carícia à alma.Ah, poder exprimir-me todo como um motor se exprime! Ser completo como uma máquina! Poder ir na vida triunfante como um automóvel último-modelo! Poder ao menos penetrar-me fisicamente de tudo isto, Rasgar-me todo, abrir-me completamente, tornar-me passento A todos os perfumes de óleos e calores e carvões Desta flora estupenda, negra, artificial e insaciável!Fraternidade com todas as dinâmicas!Promíscua fúria de ser parte-agenteDo rodar férreo e cosmopolitaDos comboios estrénuos,Da faina transportadora-de-cargas dos navios,Do giro lúbrico e lento dos guindastes,Do tumulto disciplinado das fábricas,E do quase-silêncio ciciante e monótono das correias de transmissão!Horas europeias, produtoras, entaladasEntre maquinismos e afazeres úteis!Grandes cidades paradas nos cafés,Nos cafés — oásis de inutilidades ruidosasOnde se cristalizam e se precipitamOs rumores e os gestos do ÚtilE as rodas, e as rodas-dentadas e as chumaceiras do Progressivo!Nova Minerva sem-alma dos cais e das gares!Novos entusiasmos de estatura do Momento!Quilhas de chapas de ferro sorrindo encostadas às docas,Ou a seco, erguidas, nos planos-inclinados dos portos!Actividade internacional, transatlântica, Canadian-Pacific!Luzes e febris perdas de tempo nos bares, nos hotéis,Nos Longchamps e nos Derbies e nos Ascots,E Piccadillies e Avenues de L’Opéra que entramPela minh’alma dentro!Hé-lá as ruas, hé-lá as praças, hé-lá-hô la foule!Tudo o que passa, tudo o que pára às montras!Comerciantes; vários; escrocs exageradamente bem-vestidos;Membros evidentes de clubes aristocráticos;Esquálidas figuras dúbias; chefes de família vagamente felizes E paternais até na corrente de oiro que atravessa o colete De algibeira a algibeira! Tudo o que passa, tudo o que passa e nunca passa! Presença demasiadamente acentuada das cocotes Banalidade interessante (e quem sabe o quê por dentro?) Das burguesinhas, mãe e filha geralmente, Que andam na rua com um fim qualquer; A graça feminil e falsa dos pederastas que passam, lentos; E toda a gente simplesmente elegante que passeia e se mostra E afinal tem alma lá dentro!(Ah, como eu desejaria ser o souteneur disto tudo!)A maravilhosa beleza das corrupções políticas, Deliciosos escândalos financeiros e diplomáticos, Agressões políticas nas ruas, E de vez em quando o cometa dum regicídio Que ilumina de Prodígio e Fanfarra os céus Usuais e lúcidos da Civilização quotidiana!Notícias desmentidas dos jornais, Artigos políticos insinceramente sinceros, Notícias passez à-la-caisse, grandes crimes — Duas colunas deles passando para a segunda página! O cheiro fresco a tinta de tipografia!Os cartazes postos há pouco, molhados! Vients-de-paraître amarelos como uma cinta branca! Como eu vos amo a todos, a todos, a todos, Como eu vos amo de todas as maneiras, Com os olhos e com os ouvidos e com o olfacto E com o tacto (o que palpar-vos representa para mim!) E com a inteligência como uma antena que fazeis vibrar! Ah, como todos os meus sentidos têm cio de vós!Adubos, debulhadoras a vapor, progressos da agricultura! Química agrícola, e o comércio quase uma ciência! Ó mostruários dos caixeiros-viajantes, Dos caixeiros-viajantes, cavaleiros-andantes da Indústria, Prolongamentos humanos das fábricas e dos calmos escritórios!Ó fazendas nas montras! Ó manequins! Ó últimos figurinos!Ó artigos inúteis que toda a gente quer comprar!Olá grandes armazéns com várias secções!Olá anúncios eléctricos que vêm e estão e desaparecem!Olá tudo com que hoje se constrói, com que hoje se é diferente de ontem! Eh, cimento armado, beton de cimento, novos processos! Progressos dos armamentos gloriosamente mortíferos! Couraças, canhões, metralhadoras, submarinos, aeroplanos! Amo-vos a todos, a tudo, como uma fera. Amo-vos carnivoramente.Pervertidamente e enroscando a minha vista Em vós, ó coisas grandes, banais, úteis, inúteis, Ó coisas todas modernas, Ó minhas contemporâneas, forma actual e próxima Do sistema imediato do Universo! Nova Revelação metálica e dinâmica de Deus!Ó fábricas, ó laboratórios, ó music-halls, ó Luna-Parks, Ó couraçados, ó pontes, ó docas flutuantes — Na minha mente turbulenta e encandescida Possuo-vos como a uma mulher bela, Completamente vos possuo como a uma mulher bela que não se ama, Que se encontra casualmente e se acha interessantíssima.Eh-lá-hô fachadas das grandes lojas! Eh-lá-hô elevadores dos grandes edifícios! Eh-lá-hô recomposições ministeriais! Parlamentos, políticas, relatores de orçamentos, Orçamentos falsificados! (Um orçamento é tão natural como uma árvore E um parlamento tão belo como uma borboleta).Eh-lá o interesse por tudo na vida,Porque tudo é a vida, desde os brilhantes nas montrasAté à noite ponte misteriosa entre os astrosE o mar antigo e solene, lavando as costasE sendo misericordiosamente o mesmo Que era quando Platão era realmente Platão Na sua presença real e na sua carne com a alma dentro, E falava com Aristóteles, que havia de não ser discípulo dele.Eu podia morrer triturado por um motor Com o sentimento de deliciosa entrega duma mulher possuída. Atirem-me para dentro das fornalhas! Metam-me debaixo dos comboios! Espanquem-me a bordo de navios! Masoquismo através de maquinismos! Sadismo de não sei quê moderno e eu e barulho!Up-lá hô jockey que ganhaste o Derby, Morder entre dentes o teu cap de duas cores!(Ser tão alto que não pudesse entrar por nenhuma porta! Ah, olhar é em mim uma perversão sexual!)Eh-lá, eh-lá, eh-lá, catedrais! Deixai-me partir a cabeça de encontro às vossas esquinas.E ser levado da rua cheio de sangue Sem ninguém saber quem eu sou!Ó tramways, funiculares, metropolitanos, Roçai-vos por mim até ao espasmo! Hilla! hilla! hilla-hô! Dai-me gargalhadas em plena cara, Ó automóveis apinhados de pândegos e de putas, Ó multidões quotidianas nem alegres nem tristes das ruas, Rio multicolor anónimo e onde eu me posso banhar como quereria! Ah, que vidas complexas, que coisas lá pelas casas de tudo isto! Ah, saber-lhes as vidas a todos, as dificuldades de dinheiro, As dissensões domésticas, os deboches que não se suspeitam, Os pensamentos que cada um tem a sós consigo no seu quarto E os gestos que faz quando ninguém pode ver! Não saber tudo isto é ignorar tudo, ó raiva, Ó raiva que como uma febre e um cio e uma fome Me põe a magro o rosto e me agita às vezes as mãos Em crispações absurdas em pleno meio das turbas Nas ruas cheias de encontrões!Ah, e a gente ordinária e suja, que parece sempre a mesma, Que emprega palavrões como palavras usuais, Cujos filhos roubam às portas das mercearias E cujas filhas aos oito anos — e eu acho isto belo e amo-o! —Masturbam homens de aspecto decente nos vãos de escada.A gentalha que anda pelos andaimes e que vai para casa Por vielas quase irreais de estreiteza e podridão.Maravilhosamente gente humana que vive como os cães Que está abaixo de todos os sistemas morais, Para quem nenhuma religião foi feita, Nenhuma arte criada, Nenhuma política destinada para eles! Como eu vos amo a todos, porque sois assim, Nem imorais de tão baixos que sois, nem bons nem maus, Inatingíveis por todos os progressos, Fauna maravilhosa do fundo do mar da vida!(Na nora do quintal da minha casaO burro anda à roda, anda à roda,E o mistério do mundo é do tamanho disto.Limpa o suor com o braço, trabalhador descontente.A luz do sol abafa o silêncio das esferasE havemos todos de morrer,Ó pinheirais sombrios ao crepúsculo,Pinheirais onde a minha infância era outra coisaDo que eu sou hoje...)Mas, ah outra vez a raiva mecânica constante!Outra vez a obsessão movimentada dos ónibus.E outra vez a fúria de estar indo ao mesmo tempo dentro de todos os comboiosDe todas as partes do mundo,De estar dizendo adeus de bordo de todos os navios, Que a estas horas estão levantando ferro ou afastando-se das docas. Ó ferro, ó aço, ó alumínio, ó chapas de ferro ondulado! Ó cais, ó portos, ó comboios, ó guindastes, ó rebocadores!Eh-lá grandes desastres de comboios! Eh-lá desabamentos de galerias de minas! Eh-lá naufrágios deliciosos dos grandes transatlânticos! Eh-lá-hô revoluções aqui, ali, acolá, Alterações de constituições, guerras, tratados, invasões, Ruído, injustiças, violências, e talvez para breve o fim, A grande invasão dos bárbaros amarelos pela Europa, E outro Sol no novo Horizonte!Que importa tudo isto, mas que importa tudo isto Ao fúlgido e rubro ruído contemporâneo, Ao ruído cruel e delicioso da civilização de hoje?Tudo isso apaga tudo, salvo o Momento, O Momento de tronco nu e quente como um fogueiro, O Momento estridentemente ruidoso e mecânico, O Momento dinâmico passagem de todas as bacantes Do ferro e do bronze e da bebedeira dos metais.Eia comboios, eia pontes, eia hotéis à hora do jantar, Eia aparelhos de todas as espécies, férreos, brutos, mínimos, Instrumentos de precisão, aparelhos de triturar, de cavar,Engenhos brocas, máquinas rotativas!Eia! eia! eia! Eia electricidade, nervos doentes da Matéria! Eia telegrafia-sem-fios, simpatia metálica do Inconsciente! Eia túneis, eia canais, Panamá, Kiel, Suez! Eia todo o passado dentro do presente! Eia todo o futuro já dentro de nós! eia! Eia! eia! eia! Frutos de ferro e útil da árvore-fábrica cosmopolita! Eia! eia! eia! eia-hô-ô-ô! Nem sei que existo para dentro. Giro, rodeio, engenho-me. Engatam-me em todos os comboios. Içam-me em todos os cais. Giro dentro das hélices de todos os navios. Eia! eia-hô! eia! Eia! sou o calor mecânico e a electricidade!Eia! e os rails e as casas de máquinas e a Europa! Eia e hurrah por mim-tudo e tudo, máquinas a trabalhar, eia!Galgar com tudo por cima de tudo! Hup-lá!Hup-lá, hup-lá, hup-lá-hô, hup-lá! Hé-la! He-hô! H-o-o-o-o! Z-z-z-z-z-z-z-z-z-z-z-z!Ah não ser eu toda a gente e toda a parte!Londres, 1914 — Junho. 
",6-1914,poem
53,Ricardo Reis,Sê dono de ti,"
Sê o dono de ti
Sem fechares os olhos.

Na dura mão aperta
Com um tacto encavado
O mundo exterior
Contra a palma sentindo
Outra cousa que a palma.
",11-8-1918,poem
54,Fernando Pessoa,Acendeste uma candeia,"
Acendeste uma candeia

Acendeste uma candeia
Com esse ar que Deus te deu.
Já não é noite na aldeia
E, se calhar, nem no céu.
",s.d.,poem
55,Fernando Pessoa,I became a man of the crowd.,"
I became a man of the crowd. I never trusted myself alone. From night unto morn, and from morn unto night I elbowed speedily through crowds, clinging affrightedly to whom I could. Many thought me a thief. But I pressed my body against their bodies as a child clings to its mother during a thunderstorm. I tried to close up my mind's eye as a child seeks to escape the sight of the lightening; I strove to close my mental ears, as a child seeks by burying its head in its mother's lap to hear not the crash of the thunderbolt. And if there were a short gap in the walkers, I would hurry, run, my arms outstretched, eager for the touch of somebody's frame, my own body eager for a shrinking contact. And always, always, amid the shuffle and the tramp of all footfalls, I shivered to hear that firm, inexorable tread.
",s.d.,prose
56,Bernardo Soares,Penso às vezes com agrado (em bissecção) na possibilidade futura...,"
Penso às vezes com agrado (em bissecção) na possibilidade futura de uma geografia da nossa consciência de nós próprios. A meu ver, o historiador futuro das nossas próprias sensações poderá talvez reduzir a uma ciência precisa a sua atitude para com a sua consciência da sua própria alma. Por enquanto vamos em princípio nesta arte difícil — arte ainda, química de sensações no seu estado alquímico por ora. Esse cientista de depois de amanhã terá um escrúpulo especial pela sua própria vida interior. Criará de si mesmo o instrumento de precisão para a reduzir a analisada. Não vejo dificuldade essencial em construir um instrumento de precisão, para uso auto-analítico, com aços e bronzes só do pensamento. Refiro-me a aços e bronzes realmente aços e bronzes, mas do espírito. E talvez mesmo assim que ele deva ser construído. Será talvez preciso arranjar a ideia de um instrumento de precisão, materialmente vendo essa ideia, para poder proceder a uma rigorosa análise íntima. E naturalmente será necessário reduzir também o espírito a uma espécie de matéria real com uma espécie de espaço em que existe. Depende tudo isso do aguçamento extremo das nossas sensações interiores, que, levadas até onde podem ser, sem dúvida revelarão, ou criarão, em nós um espaço real como o espaço que há onde as coisas da matéria estão, e que, aliás, é irreal como coisa.
Não sei mesmo se este espaço interior não será apenas uma nova dimensão do outro. Talvez a investigação científica do futuro venha a descobrir que tudo são dimensões do mesmo espaço, nem material nem espiritual por isso. Numa dimensão viveremos corpo; na outra viveremos alma. E há talvez outras dimensões onde vivemos outras coisas igualmente reais de nós. Apraz-me às vezes deixar-me possuir pela meditação inútil do ponto até onde esta investigação pode levar.
Talvez se descubra que aquilo a que chamamos Deus, e que tão patentemente está em outro plano que não a lógica e a realidade espacial e temporal, é um nosso modo de existência, uma sensação de nós em outra dimensão do ser. Isto não me parece impossível. Os sonhos também serão talvez ou ainda outra dimensão em que vivemos, ou um cruzamento de duas dimensões; como um corpo vive na altura, na largura e no comprimento, os nossos sonhos, quem sabe, viverão no ideal, no eu e no espaço. No espaço pela sua representação visível; no ideal pela sua apresentação de outro género que a da matéria; no eu pela sua íntima dimensão de nossos. O próprio Eu, o de cada um de nós, é talvez uma dimensão divina. Tudo isto é complexo e a seu tempo, sem dúvida, será determinado. Os sonhadores actuais são talvez os grandes precursores da ciência final do futuro. Não creio, é claro, numa ciência final do futuro. Mas isso nada tem para o caso.
Faço às vezes metafísica destas, com a atenção escrupulosa e respeitosa de quem trabalha deveras e faz ciência. Já disse que chega a ser possível que a esteja realmente fazendo. O essencial é eu não me orgulhar muito com isto, dado que o orgulho é prejudicial à exacta imparcialidade da precisão científica.
",s.d.,prose
